Id,SalePrice
2,115756.95791759162
4,259789.14168298407
6,192024.63832400867
7,224739.05138736207
17,213191.51386471244
18,335455.6529836868
22,185426.55840123614
27,112118.09893269655
31,88757.59021777009
36,130115.71641848353
39,357593.51773113484
40,267330.8909539825
42,328538.85780739196
46,241011.45838972044
53,158780.22974231694
58,174421.7548314381
61,313049.7432255264
72,230971.9542240473
79,109179.75977876077
80,196530.6744326644
82,165039.62663289634
83,88304.85030436165
85,132318.8060801388
88,110778.53599726471
92,284092.70298034255
93,280100.47262841125
95,175907.10336039466
102,194567.25885150823
103,171590.83732403783
106,239367.12056472828
107,170140.55334820462
110,224187.82014067768
114,187894.43471766607
116,179367.3970667442
117,153232.2930143689
118,144287.20655795047
125,160249.2444687137
126,156545.20816051165
127,138722.20964108533
128,207250.51927295842
134,133366.49917519971
135,162920.77649236497
137,249556.51743493887
143,136834.88848239882
147,127798.58455492508
148,192585.00649161468
150,118406.66600485977
156,140456.08430159854
157,127463.43653171287
159,142696.6781954877
161,264433.6286149823
167,142996.17146621243
170,138269.0161956513
171,75144.35476841475
175,100156.38222578366
179,129075.86208439911
181,98126.1304338128
186,215168.77800489962
193,180488.49573433487
194,72838.43001890447
206,112853.24775971411
208,123715.16945433588
210,148548.02728653638
211,94222.63619297442
212,99194.82734067392
214,89447.65213837297
215,124835.64894561369
217,136324.3632458828
222,148773.14293716374
227,142871.07830550894
228,172852.79765747074
233,232712.0064951665
235,120518.6901588992
238,129501.25057227536
241,163131.7248369807
252,175973.23704808994
253,181978.03690888587
256,146496.77685566834
257,166584.82580235242
258,185241.23964953775
259,177202.7805974989
261,142944.9896985368
263,124865.49746117757
266,230548.25387635114
267,215770.83902257282
270,140067.85084449663
271,235157.50142266843
276,115470.11404589415
285,146855.43850590722
288,48389.120305165416
289,148961.26381251632
290,133040.30373685466
291,144296.46745243066
292,115644.09072790813
293,186932.7799695773
294,223593.10547412356
295,187010.69810849635
304,138902.48920086562
322,306951.14265833446
326,162723.66073338746
327,79512.19763641432
328,134173.59393064215
331,63553.00393724456
332,66298.27895798074
333,80891.38395897314
335,141072.33966144023
337,168537.63817934814
342,118538.26952364284
343,184365.9320276429
347,173145.31858065282
350,316748.6991857654
352,232305.84418665688
358,176940.95579205526
359,171696.65163120223
360,149078.20208256505
368,316087.7702986081
369,258555.69093313345
373,186644.26327381548
377,236535.14612493714
383,197973.765852963
386,216084.26191511433
387,230952.11015228735
390,164201.12049261032
391,149124.97659905234
395,158900.10949089605
397,129081.10047577569
398,116024.18163830572
401,108815.28703736677
404,106286.3785489933
408,112628.4654221141
409,112419.02511083771
410,133185.2238363835
418,112476.74882863212
422,399008.4504048062
427,331223.3970290625
431,372599.38038705674
433,455755.02064794407
437,308979.06958641834
438,282796.35210038535
442,334298.6714595582
447,244159.9645580298
459,318641.25772000814
460,269302.1982169578
464,206579.95819753307
465,174695.4749330069
467,170710.7696310674
468,178144.8732172469
474,160584.36810724693
480,194787.8476468214
481,196239.79471240676
483,224913.87366194685
488,172522.4399381884
492,135084.84395544132
494,168992.1833566764
499,324842.6541464081
500,279752.73089278623
501,308925.409768445
503,260839.85772843222
506,238230.4952730166
508,250874.9095491057
511,265473.0150350879
515,237669.9541563997
519,240698.507744361
521,250858.75907371868
530,226339.39837825272
532,219064.54311768734
534,173914.05336639122
540,165017.56296252596
541,116198.65011370182
551,159675.56428831263
552,173301.74269562803
554,93383.9079907861
555,120138.42672513876
556,130128.43919645953
557,122591.84934403485
565,249062.16817669186
566,243140.40578827506
567,159234.8608844773
569,203677.14346777898
570,184694.87135221832
574,213786.48979713756
575,302558.49975213036
576,199018.80317206343
577,222396.93879123847
578,234972.8778832245
583,223347.2665272802
584,231537.58473448068
585,160015.49760378024
587,189034.86883206
593,212614.81936958092
597,213668.3310441813
598,169881.12505343073
599,171519.35186078295
600,118419.6486663516
605,157299.67590736476
607,166390.45471596665
608,157207.904961964
611,174727.74914910292
616,118769.55543151598
625,179600.5532002597
629,162194.63061562288
630,121869.04754288172
631,139525.1078951598
640,182042.93474541508
642,162614.55452950287
643,144174.28995781002
646,112755.88007358873
647,145080.16591549976
655,70380.94221311893
659,110106.54028337834
663,31636.915681411396
665,97186.24946229666
667,199057.68390955983
673,152927.68632210337
676,167066.9978605356
680,142106.22061120198
682,135434.3920195087
687,148258.24967199983
688,159676.7631618329
692,116989.42425077429
693,110942.4359018968
695,149206.98352251327
697,118756.60074357143
700,135710.3506735203
702,138825.2247596954
703,156909.14443206272
704,101140.2076070423
712,84760.02855243694
713,75780.69329991075
717,228420.42954985838
720,179090.41894811153
721,48184.66845740119
726,148918.77753784048
733,116068.62186963062
736,125955.93411139307
738,94140.57892616116
741,126982.91684805085
743,39600.47621793844
745,99432.83292241643
750,146912.66589919938
756,97047.57715341417
757,119120.76851565333
758,86496.96063395526
760,77544.04264693896
765,139763.11036064985
775,132712.06633363286
776,122417.63208735827
780,169881.8558342985
783,226898.42527951283
790,115306.13561254519
795,86484.10988696382
796,113848.88690565775
797,142923.07963548866
798,114504.20463226145
804,202383.29767710005
805,218226.2615868236
806,224366.90598326724
